dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
bimodal,B,3,SOFT_GATING,K_PENALTY,123,2.2,2.272552,1.832564,,2.9077,0.8474,0.8474
bimodal,B,3,SOFT_GATING,K_PENALTY,7,4.3,2.451059,1.874061,,2.623,0.2738,0.2738
bimodal,B,3,SOFT_GATING,K_PENALTY,2026,9.6,2.254162,1.826216,,2.2406,0.1681,0.1681
bimodal,B,3,SOFT_GATING,K_PENALTY,31,4.4,2.264272,1.828188,,2.9255,0.2808,0.2808
bimodal,B,3,SOFT_GATING,ELBO,42,13.2,2.33855,1.845564,,2.3143,0.278,0.278
bimodal,B,3,SOFT_GATING,ELBO,123,5.5,2.276696,1.831477,,2.3415,0.5827,0.5827
bimodal,B,3,SOFT_GATING,ELBO,7,5.6,2.324398,1.843051,,2.3221,0.2728,0.2728
bimodal,B,3,SOFT_GATING,ELBO,2026,6.9,2.258906,1.827034,,2.3415,0.3145,0.3145
bimodal,B,3,SOFT_GATING,ELBO,31,8.8,2.335985,1.844193,,2.3617,0.468,0.468
bimodal,B,3,GUMBEL_SOFTMAX,NONE,42,10.2,2.350903,1.847552,,2.9878,0.4036,0.4036
bimodal,B,3,GUMBEL_SOFTMAX,NONE,123,1.9,2.302629,1.837108,,2.9969,0.7926,0.7926
bimodal,B,3,GUMBEL_SOFTMAX,NONE,7,5.4,2.368417,1.852656,,2.9991,0.5075,0.5075
bimodal,B,3,GUMBEL_SOFTMAX,NONE,2026,7.2,2.27312,1.830723,,2.6227,0.3131,0.3131
bimodal,B,3,GUMBEL_SOFTMAX,NONE,31,3.3,2.253513,1.825385,,2.9994,0.1349,0.1349
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,42,4.2,2.347982,1.847551,,2.943,0.4047,0.4047
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,123,2.0,2.302685,1.837114,,2.9965,0.7873,0.7873
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,7,4.7,2.387234,1.856021,,2.9987,0.4753,0.4753
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,2026,7.3,2.275097,1.831593,,2.5421,0.3141,0.3141
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,31,4.4,2.26062,1.826637,,2.9992,0.1481,0.1481
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,42,4.8,2.55142,1.8959,,2.1404,0.4094,0.4094
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,123,4.3,3.101466,1.98417,,2.105,0.577,0.577
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,7,8.1,2.776914,1.94998,,2.0829,0.3159,0.3159
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,2026,5.1,2.29581,1.841143,,2.1525,0.19,0.19
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,31,9.8,2.37485,1.859802,,2.0963,0.3878,0.3878
bimodal,C,3,NONE,NONE,42,6.7,2.344358,1.884728,1.861722,3.0,0.3325,0.3325
bimodal,C,3,NONE,NONE,123,2.3,2.616957,1.920035,1.911505,3.0,0.3316,0.3316
bimodal,C,3,NONE,NONE,7,5.0,2.771454,1.966013,1.972876,3.0,0.2746,0.2746
bimodal,C,3,NONE,NONE,2026,8.4,2.515981,1.891632,2.134189,3.0,0.3082,0.3082
bimodal,C,3,NONE,NONE,31,2.4,2.530647,1.904065,1.859269,3.0,0.3384,0.3384
bimodal,B,5,NONE,NONE,42,1.8,2.399004,1.862459,1.87296,5.0,0.1655,0.3407
bimodal,B,5,NONE,NONE,123,3.3,2.325876,1.843269,1.829526,5.0,0.5075,0.6705
bimodal,B,5,NONE,NONE,7,9.0,2.387771,1.855381,1.827012,5.0,0.404,0.6241
bimodal,B,5,NONE,NONE,2026,8.2,2.253464,1.825159,1.835225,5.0,0.6139,0.8665
bimodal,B,5,NONE,NONE,31,2.7,2.312043,1.839647,1.856953,5.0,0.4103,0.6314
bimodal,B,5,SOFT_GATING,NONE,42,8.3,2.362027,1.850036,,3.8461,0.7295,0.9283
bimodal,B,5,SOFT_GATING,NONE,123,10.6,2.326298,1.843381,,4.5278,0.0907,0.1157
bimodal,B,5,SOFT_GATING,NONE,7,9.6,2.375478,1.853047,,4.3516,0.7202,0.8665
bimodal,B,5,SOFT_GATING,NONE,2026,22.0,2.24446,1.82421,,4.2833,0.3386,0.4173
bimodal,B,5,SOFT_GATING,NONE,31,6.2,2.383655,1.853824,,2.9575,0.397,0.6073
bimodal,B,5,SOFT_GATING,K_PENALTY,42,8.8,2.348009,1.846356,,3.0164,0.6756,0.9582
bimodal,B,5,SOFT_GATING,K_PENALTY,123,11.9,2.337181,1.844981,,2.4553,0.2181,0.2419
bimodal,B,5,SOFT_GATING,K_PENALTY,7,24.1,2.382466,1.85701,,2.4469,0.6971,0.871
bimodal,B,5,SOFT_GATING,K_PENALTY,2026,22.8,2.255282,1.825518,,2.3891,0.375,0.4952
bimodal,B,5,SOFT_GATING,K_PENALTY,31,9.8,2.271638,1.83019,,2.231,0.5006,0.7368
bimodal,B,5,SOFT_GATING,ELBO,42,9.6,2.356423,1.848823,,2.994,0.807,0.9859
bimodal,B,5,SOFT_GATING,ELBO,123,8.2,2.340823,1.845045,,3.0987,0.3372,0.5753
bimodal,B,5,SOFT_GATING,ELBO,7,11.3,2.352642,1.847018,,3.0512,0.6612,0.8584
bimodal,B,5,SOFT_GATING,ELBO,2026,25.1,2.241111,1.822856,,3.0628,0.4301,0.5131
bimodal,B,5,SOFT_GATING,ELBO,31,13.3,2.277426,1.830946,,3.002,0.373,0.6353
bimodal,B,5,GUMBEL_SOFTMAX,NONE,42,10.2,2.389935,1.855433,,4.0747,0.6272,0.7999
bimodal,B,5,GUMBEL_SOFTMAX,NONE,123,4.5,2.330087,1.843257,,4.2063,0.2989,0.4758
bimodal,B,5,GUMBEL_SOFTMAX,NONE,7,9.6,2.414413,1.86203,,4.9166,0.7046,0.8335
bimodal,B,5,GUMBEL_SOFTMAX,NONE,2026,22.6,2.265665,1.827939,,4.997,0.4033,0.6593
bimodal,B,5,GUMBEL_SOFTMAX,NONE,31,7.6,2.318416,1.840485,,3.2691,0.389,0.5665
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,42,21.9,2.376704,1.854381,,3.2174,0.588,0.7478
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,123,7.2,2.310061,1.8391,,3.0036,0.2569,0.4144
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,7,10.0,2.366746,1.851423,,3.3466,0.6367,0.7505
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,2026,23.5,2.256914,1.826867,,2.7332,0.4499,0.7067
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,31,10.9,2.300892,1.83591,,2.0068,0.3999,0.5309
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,42,8.8,2.408722,1.858889,,2.4615,0.6647,0.7689
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,123,7.5,2.41004,1.864199,,2.373,0.3274,0.4447
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,7,9.8,2.410142,1.860219,,2.3194,0.6613,0.754
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,2026,7.2,2.285137,1.83849,,2.3628,0.4576,0.6266
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,31,11.1,2.256906,1.827326,,2.4312,0.4512,0.5224
bimodal,C,5,NONE,NONE,42,8.4,2.493076,1.903389,1.783018,5.0,0.4545,0.5736
bimodal,C,5,NONE,NONE,123,10.3,2.707865,1.934194,1.786057,5.0,0.4543,0.5694
bimodal,C,5,NONE,NONE,7,11.2,2.623621,1.922246,1.691938,5.0,0.4658,0.5974
bimodal,C,5,NONE,NONE,2026,9.7,2.641141,1.914854,1.715716,5.0,0.4266,0.5676
bimodal,C,5,NONE,NONE,31,6.0,2.461509,1.88251,1.762834,5.0,0.486,0.6422
bimodal,B,7,NONE,NONE,42,3.3,2.369814,1.853548,1.862388,7.0,0.1459,0.2615
bimodal,B,7,NONE,NONE,123,2.6,2.300985,1.837327,1.859973,7.0,0.0593,0.0816
bimodal,B,7,NONE,NONE,7,6.1,2.380117,1.853695,1.863361,7.0,0.0778,0.1897
bimodal,B,7,NONE,NONE,2026,8.0,2.239821,1.822635,1.826663,7.0,0.1277,0.2445
bimodal,B,7,NONE,NONE,31,7.1,2.304441,1.836957,1.860069,7.0,0.2532,0.343
bimodal,B,7,SOFT_GATING,NONE,42,12.3,2.333411,1.843415,,5.326,0.5562,0.6103
bimodal,B,7,SOFT_GATING,NONE,123,11.0,2.291365,1.834728,,6.6134,0.3306,0.3999
bimodal,B,7,SOFT_GATING,NONE,7,35.7,2.343114,1.846813,,5.4152,0.238,0.3112
bimodal,B,7,SOFT_GATING,NONE,2026,21.2,2.238106,1.82261,,5.6449,0.1653,0.2987
bimodal,B,7,SOFT_GATING,NONE,31,12.6,2.239598,1.822222,,6.0053,0.3336,0.387
bimodal,B,7,SOFT_GATING,K_PENALTY,42,27.3,2.315955,1.838908,,2.777,0.8974,0.9392
bimodal,B,7,SOFT_GATING,K_PENALTY,123,18.2,2.312538,1.838494,,2.8562,0.2733,0.3631
bimodal,B,7,SOFT_GATING,K_PENALTY,7,21.7,2.461576,1.875837,,2.4596,0.3762,0.4548
bimodal,B,7,SOFT_GATING,K_PENALTY,2026,38.8,2.277362,1.830046,,2.473,0.6664,0.8909
bimodal,B,7,SOFT_GATING,K_PENALTY,31,38.8,2.240529,1.822695,,2.3568,0.3293,0.4269
bimodal,B,7,SOFT_GATING,ELBO,42,24.6,2.354372,1.848583,,3.7347,0.6841,0.744
bimodal,B,7,SOFT_GATING,ELBO,123,10.7,2.283152,1.833625,,3.8267,0.2451,0.3181
bimodal,B,7,SOFT_GATING,ELBO,7,16.9,2.260885,1.826895,,3.7996,0.5326,0.707
bimodal,B,7,SOFT_GATING,ELBO,2026,36.7,2.25904,1.827692,,3.7334,0.3221,0.5308
bimodal,B,7,SOFT_GATING,ELBO,31,10.7,2.251763,1.826369,,3.7651,0.23,0.2607
bimodal,B,7,GUMBEL_SOFTMAX,NONE,42,26.7,2.35818,1.848456,,6.5798,0.3406,0.374
bimodal,B,7,GUMBEL_SOFTMAX,NONE,123,7.2,2.360678,1.849268,,6.8621,0.3396,0.3808
