dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
bimodal,C,7,SOFT_GATING,ELBO,2.3322602,0.0635044290518385,1.8453538000000003,0.014117005567754182,,,3.7245199999999996,0.058890720831044484,0.24582,0.07128714470365607,0.39226,0.06496832305054519,24.18,8.10382625677525
bimodal,C,7,SOFT_GATING,K_PENALTY,2.3184928,0.08161664132209792,1.8406718000000002,0.017807920785425757,,,3.7196200000000004,0.48594498865612357,0.24892000000000003,0.14560826556208958,0.34586,0.19410119268051906,22.240000000000002,11.631551917091718
bimodal,C,7,SOFT_GATING,NONE,2.2988402,0.0716130432163024,1.8372742,0.017414614026730526,,,5.6401200000000005,0.7187297593671766,0.33214,0.17104728293661958,0.43712,0.207347153344337,26.419999999999998,10.784804124322333
exponential,B,3,GUMBEL_SOFTMAX,ELBO,4.9228152000000005,9.202026299194419,1.3147812,0.3304858440942668,,,2.27616,0.050069082276390946,0.33942,0.18599046212104534,0.33942,0.18599046212104534,13.52,4.475153628647848
exponential,B,3,GUMBEL_SOFTMAX,K_PENALTY,0.3271372,0.06858735435705333,0.8475509999999999,0.056453645582017126,,,2.94286,0.12771302987557695,0.72314,0.37194514783768856,0.72314,0.37194514783768856,12.08,0.804363102087608
exponential,B,3,GUMBEL_SOFTMAX,NONE,0.3153362,0.043862187983501236,0.8504764,0.06647066253092415,,,2.94556,0.12167564670056208,0.72324,0.37245165860820106,0.72324,0.37245165860820106,12.540000000000001,3.6678331477863058
exponential,B,3,NONE,NONE,9.7342172,13.003137980850802,1.5056812,0.34525719788760373,2.5515605999999997,1.032242838137325,3.0,0.0,0.46153999999999995,0.3283838653161875,0.46153999999999995,0.3283838653161875,6.640000000000001,0.6066300355241242
exponential,B,3,SOFT_GATING,ELBO,0.344004,0.0814755263284626,0.8909174,0.11244570658677902,,,2.35902,0.0175204737378875,0.4358000000000001,0.3331793586043409,0.4358000000000001,0.3331793586043409,9.459999999999999,2.619732810803423
exponential,B,3,SOFT_GATING,K_PENALTY,0.32387299999999997,0.05878229422623788,0.8701753999999999,0.12289754317438573,,,2.64472,0.253876932784371,0.6351600000000001,0.4627333443788118,0.6351600000000001,0.4627333443788118,8.34,1.9099738218101314
exponential,B,3,SOFT_GATING,NONE,0.34440980000000004,0.10782402447367655,0.8678096,0.11986513030610699,,,2.7158,0.2019853088717097,0.61218,0.48521666500646904,0.61218,0.48521666500646904,9.120000000000001,1.8939376969689368
exponential,B,5,GUMBEL_SOFTMAX,ELBO,7.3044101999999995,13.699328880638522,1.3892974,0.41170985411731403,,,2.41238,0.11245219873350631,0.7071799999999999,0.2682287493912612,0.76134,0.287662654858082,19.32,5.468729285675055
exponential,B,5,GUMBEL_SOFTMAX,K_PENALTY,0.6118554,0.3816495944256983,1.0322324,0.1910885892624151,,,4.8803600000000005,0.13968653478413717,0.7021,0.3257823122884359,0.7439,0.34877422496509114,22.02,4.596411643880474
exponential,B,5,GUMBEL_SOFTMAX,NONE,0.5045628,0.24412773852370814,1.0308432,0.16150847893748488,,,4.94692,0.07172145425184873,0.72224,0.33373043463250396,0.7673,0.36137052314764134,24.2,1.8493242008906945
exponential,B,5,NONE,NONE,5.908930400000001,4.912415070525016,1.2481740000000001,0.1730820342381034,2.9442440000000003,1.1294993799659654,5.0,0.0,0.65538,0.35346920940868387,0.7228399999999999,0.3970610444251614,9.379999999999999,1.762668431668304
exponential,B,5,SOFT_GATING,ELBO,0.3259046,0.06649200863111294,0.8569668,0.09506716431923273,,,3.15756,0.015534896201777369,0.68994,0.2756797018280454,0.71734,0.24870134297988825,24.04,3.6418401941875476
exponential,B,5,SOFT_GATING,K_PENALTY,0.34006020000000003,0.06910713342846742,0.8736054,0.0431960235646755,,,4.0239400000000005,0.930043511347722,0.73636,0.4203796534086777,0.75292,0.43125135014281407,19.94,3.7726648406663426
exponential,B,5,SOFT_GATING,NONE,0.327779,0.04190344349215229,0.8691407999999999,0.06101722903983757,,,4.645239999999999,0.39597872165054476,0.72802,0.4108947456466193,0.75408,0.4269826893446618,20.04,4.990791520390328
exponential,B,7,GUMBEL_SOFTMAX,ELBO,0.8288534000000001,0.6497909096088526,1.1363846,0.29991697678574314,,,2.80092,0.2984391261212242,0.32874,0.29787836947317947,0.3308,0.29872618733549294,42.78,4.787170354186281
exponential,B,7,GUMBEL_SOFTMAX,K_PENALTY,0.4487622,0.11167004749797503,0.999433,0.11739538506900511,,,6.481520000000001,0.5237078641762019,0.4889,0.36764883380748,0.50986,0.3686662081070084,33.58,7.140168065248886
exponential,B,7,GUMBEL_SOFTMAX,NONE,0.4440836,0.1261883350524128,0.9971274000000001,0.1446620230098418,,,6.6503,0.4350654376068043,0.48672000000000004,0.3581743388351544,0.5148400000000001,0.3700101728331263,32.0,8.231949951256992
exponential,B,7,NONE,NONE,9.708612,11.863963656340385,1.3784208,0.35438672224097223,2.4841016,0.3502367958421845,7.0,0.0,0.5012399999999999,0.3504109986858289,0.52012,0.37298056517732936,10.08,1.962651268055535
exponential,B,7,SOFT_GATING,ELBO,0.3585434,0.08008926146681589,0.9091646000000001,0.11564704906870733,,,3.84234,0.052741899852015245,0.69944,0.2321280422525465,0.70888,0.2350937515120298,33.28,8.35685347484327
exponential,B,7,SOFT_GATING,K_PENALTY,0.32581899999999997,0.02101283859929448,0.864422,0.03247583145971787,,,4.918559999999999,0.7514743827969123,0.5174,0.44573020427159743,0.5365,0.4571165332822693,29.22,5.772954183085121
exponential,B,7,SOFT_GATING,NONE,0.3131858,0.02582355004061216,0.8387283999999999,0.031314397747681515,,,5.73398,0.6816530473782096,0.39646,0.39738320674130156,0.40128,0.3971945266490967,32.06,7.892591462884672
