dataset,k,cell,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,nll_own_mean,nll_own_std,max_p_mid_mean,max_p_mid_std,anchor_error_mean,anchor_error_std
heteroscedastic,5,ClassReg,2.002091,0.0960810531946856,1.7671510000000001,0.02555980201410013,,,1.7671510000000001,0.02555980201410013,,,,
heteroscedastic,5,D,2.0026723333333334,0.2043835809558425,1.6694793333333333,0.04183700006373953,3.6982886666666666,1.9334682404726318,1.6694793333333333,0.04183700006373953,0.5942,0.05872341951896197,0.3327333333333333,0.09943602633519369
heteroscedastic,5,E,2.0797266666666667,0.049523288474548295,1.684366,0.03847054232786429,1.7112603333333334,0.044618124056635684,1.7112603333333334,0.044618124056635684,0.8468666666666667,0.20558252195489118,3.279766666666667,1.3477481453644569
heteroscedastic,5,F,2.252856,0.28127060677753024,1.7275639999999999,0.020578491951549763,1.7438796666666665,0.014081004734511439,1.7438796666666665,0.014081004734511439,0.9231000000000001,0.09317569425552993,1.7850333333333335,0.563801244529784
heteroscedastic,5,G,1.859609,0.13063342119075058,1.650205,0.01922127602423939,1.6356760000000001,0.03717298692599239,1.6356760000000001,0.03717298692599239,0.5943999999999999,0.032137828178020966,0.42566666666666664,0.07793589245869537
heteroscedastic,5,H,1.9295989999999998,0.23449512566575897,1.6608046666666667,0.0450249085544139,1.6419059999999999,0.06246134562271285,1.6419059999999999,0.06246134562271285,0.6119333333333333,0.04313250900809424,0.34113333333333334,0.06295596344535867
piecewise,3,A,0.334195,0.08858017021884751,0.6207699999999999,0.1434955252229142,2.310532333333333,0.9366578480727814,0.6207699999999999,0.1434955252229142,,,3.3631666666666664,1.3959754916664306
piecewise,3,B,0.2917636666666667,0.0452968626102662,0.5507273333333332,0.030921206078245587,1.0410413333333333,0.22653406001158707,0.5507273333333332,0.030921206078245587,,,0.7701000000000001,0.03818389712954927
piecewise,3,C,0.329368,0.01439650124162119,0.789081,0.035205470611824,0.9191313333333334,0.08295146138154122,0.789081,0.035205470611824,,,0.4268,0.07489719620920399
piecewise,3,ClassReg,0.3704456666666667,0.0512787307792747,0.9235316666666668,0.07209618423559824,,,0.9235316666666668,0.07209618423559824,,,,
